"OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"Windows 10 Professionnel N","","10.0 (19044)"
"Windows 10 Professionnel N","","10.0 (19045)"
"Windows 10 Professionnel pour les Stations de travail","","10.0 (18363)"
"Windows 10 Professionnel pour les Stations de travail","","10.0 (19042)"
"Windows 10 Professionnel pour les Stations de travail","","10.0 (19044)"
"Windows 10 Team","","10.0 (15063)"
"Windows 11 Enterprise","","10.0 (22000)"
"Windows 11 Enterprise","","10.0 (22621)"
"Windows 11 Enterprise","","10.0 (22622)"
"Windows 11 Enterprise","","10.0 (22623)"
"Windows 11 Enterprise Insider Preview","","10.0 (25197)"
"Windows 11 Enterprise Insider Preview","","10.0 (25276)"
"Windows 11 Entreprise","","10.0 (22000)"
"Windows 11 Pro","","10.0 (21996)"
"Windows 11 Pro","","10.0 (22000)"
"Windows 11 Pro","","10.0 (22598)"
"Windows 11 Pro","","10.0 (22621)"
"Windows 11 Pro","","10.0 (22622)"
"Windows 11 Pro for Workstations","","10.0 (22000)"
"Windows 11 Pro for Workstations","","10.0 (22621)"
"Windows 11 Pro Insider Preview","","10.0 (25158)"
"Windows 11 Pro Insider Preview","","10.0 (25201)"
"Windows 11 Pro Insider Preview","","10.0 (25227)"
"Windows 11 Professionnel","","10.0 (22000)"
"Windows 11 Professionnel","","10.0 (22621)"
"Windows 2000 Professional","","5.0 (2195)"
"Windows 2000 Professional","Service Pack 2","5.0 (2195)"
"Windows 2000 Professional","Service Pack 3","5.0 (2195)"
"Windows 2000 Professional","Service Pack 4","5.0 (2195)"
"Windows 2000 Server","Service Pack 1","5.0 (2195)"
"Windows 2000 Server","Service Pack 2","5.0 (2195)"
"Windows 2000 Server","Service Pack 3","5.0 (2195)"
"Windows 2000 Server","Service Pack 4","5.0 (2195)"
"Windows 7 Enterprise","","6.1 (7600)"
"Windows 7 Enterprise","","6.1 (7601)"
"Windows 7 Enterprise","Service Pack 1","6.1 (7601)"
"Windows 7 Enterprise","Service Pack 3","6.1 (7601)"
"Windows 7 Enterprise N","Service Pack 1","6.1 (7601)"
"Windows 7 Entreprise","Service Pack 1","6.1 (7601)"
"Windows 7 Entreprise N","Service Pack 1","6.1 (7601)"
"Windows 7 Professional","","6.1 (7600)"
"Windows 7 Professional","Service Pack 1","6.1 (7601)"
"Windows 7 Professional N","Service Pack 1","6.1 (7601)"
"Windows 7 Professionnel","","6.1 (7600)"
"Windows 7 Professionnel","Service Pack 1","6.1 (7601)"
"Windows 7 Ultimate","","6.1 (7100)"
"Windows 7 Ultimate","","6.1 (7600)"
"Windows 7 Ultimate","Service Pack 1","6.1 (7601)"
"Windows 8 Consumer Preview","","6.2 (8250)"
"Windows 8 Enterprise","","6.2 (9200)"
"Windows 8 Pro","","6.2 (9200)"
"Windows 8.1 Enterprise","","6.3 (9600)"
"Windows 8.1 Entreprise","","6.3 (9600)"
"Windows 8.1 Pro","","6.3 (9600)"
"Windows 8.1 Pro by blackman","","6.3 (9600)"
"Windows 8.1 Professionnel","","6.3 (9600)"
"Windows Embedded 8.1 Industry Pro","","6.3 (9600)"
"Windows Embedded Standard","Service Pack 1","6.1 (7601)"
"Windows NT","","4"
"Windows Server","","10.0 (14393)"
"Windows Server","","6.3 (9600)"
"Windows Server","Service Pack 1","6.1 (7601)"
"Windows Server 2003","","5.2 (3790)"
"Windows Server 2003","Dodatek Service Pack 2","5.2 (3790)"
"Windows Server 2003","Service Pack 1","5.2 (3790)"
"Windows Server 2003","Service Pack 2","5.2 (3790)"
"Windows Server 2008 R2 Datacenter","","6.1 (7600)"
"Windows Server 2008 R2 Datacenter","Service Pack 1","6.1 (7601)"
"Windows Server 2008 R2 Enterprise","","6.1 (7600)"
"Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"Windows Server 2008 R2 Entreprise","","6.1 (7600)"
"Windows Server 2008 R2 Entreprise","Service Pack 1","6.1 (7601)"
"Windows Server 2008 R2 Standard","","6.1 (7600)"
"Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"Windows Server 2012 Datacenter","","6.2 (9200)"
"Windows Server 2012 Datacenter Evaluation","","6.2 (9200)"
"Windows Server 2012 R2 Datacenter","","6.3 (9600)"
"Windows Server 2012 R2 Standard","","6.3 (9600)"
"Windows Server 2012 R2 Standard Evaluation","","6.3 (9600)"
"Windows Server 2012 Release Candidate Datacenter","","6.2 (8400)"
"Windows Server 2012 Standard","","6.2 (9200)"
"Windows Server 2012 Standard Evaluation","","6.2 (9200)"
"Windows Server 2016 Datacenter","","10.0 (14393)"
"Windows Server 2016 Datacenter Evaluation","","10.0 (14393)"
"Windows Server 2016 Standard","","10.0 (14393)"
"Windows Server 2016 Standard Evaluation","","10.0 (14393)"
"Windows Server 2016 Standard Technical Preview 5","","10.0 (14300)"
"Windows Server 2016 Technical Preview 4","","10.0 (10586)"
"Windows Server 2019 Datacenter","","10.0 (17763)"
"Windows Server 2019 Standard","","10.0 (17763)"
"Windows Server 2019 Standard Evaluation","","10.0 (17763)"
"Windows Server 2022 Datacenter","","10.0 (20348)"
"Windows Server 2022 Standard","","10.0 (20348)"
"Windows Server 2022 Standard Evaluation","","10.0 (20348)"
"Windows Server® 2008 Datacenter","Service Pack 2","6.0 (6002)"
"Windows Server® 2008 Datacenter","Service Pack 2","6.0 (6003)"
"Windows Server® 2008 Enterprise","Service Pack 1","6.0 (6001)"
"Windows Server® 2008 Enterprise","Service Pack 2","6.0 (6002)"
"Windows Server® 2008 Enterprise","Service Pack 2","6.0 (6003)"
"Windows Server® 2008 Enterprise without Hyper-V","Service Pack 2","6.0 (6002)"
"Windows Server® 2008 Entreprise","Service Pack 1","6.0 (6001)"
"Windows Server® 2008 Entreprise","Service Pack 2","6.0 (6002)"
"Windows Server® 2008 Standard","Service Pack 1","6.0 (6001)"
"Windows Server® 2008 Standard","Service Pack 2","6.0 (6002)"
"Windows Server® 2008 Standard","Service Pack 2","6.0 (6003)"
"Windows Server® 2008 Standard without Hyper-V","Service Pack 2","6.0 (6002)"
"Windows Small Business Server 2011 Essentials","Service Pack 1","6.1 (7601)"
"Windows Storage Server 2008 R2 Essentials","Service Pack 1","6.1 (7601)"
"Windows Storage Server 2012 R2 Standard","","6.3 (9600)"
"Windows Storage Server 2012 Standard","","6.2 (9200)"
"Windows Storage Server 2016 Standard","","10.0 (14393)"
"Windows Technical Preview for Enterprise","","6.4 (9860)"
"Windows Vista Business","",""
"Windows Vista Business","","6.0 (6000)"
"Windows Vista Business","Service Pack 1","6.0 (6001)"
"Windows Vista Business","Service Pack 2","6.0 (6002)"
"Windows Vista Ultimate","","6.0 (6000)"
"Windows Vista Ultimate","Service Pack 1","6.0 (6001)"
"Windows Web Server 2008 R2","","6.1 (7600)"
"Windows Web Server 2008 R2","Service Pack 1","6.1 (7601)"
"Windows Workstation","","10.0 (19044)"
"Windows Workstation","","6"
"Windows Workstation","","6"
"Windows Workstation","Service Pack 1","6.1 (7601)"
"Windows XP Professional","","5.1 (2600)"
"Windows XP Professional","Dodatek Service Pack 3","5.1 (2600)"
"Windows XP Professional","Service Pack 1","5.1 (2600)"
"Windows XP Professional","Service Pack 2","5.1 (2600)"
"Windows XP Professional","Service Pack 2","5.2 (3790)"
"Windows XP Professional","Service Pack 3","5.1 (2600)"
"Windows XP Tablet PC Edition","Service Pack 3","5.1 (2600)"
"Windows® Storage Server 2008 Standard","Service Pack 2","6.0 (6002)"
""
